"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"4/1/2019 12 a.m. EDT",30646,403,37863,5735,3335,134366,87672,86819,387978
US48,"4/1/2019 1 a.m. EDT",25902,402,35523,5634,3319,134457,91191,86631,384397
US48,"4/1/2019 2 a.m. EDT",30437,442,32729,5645,3172,128752,89484,86475,378304
US48,"4/1/2019 3 a.m. EDT",30095,432,30566,5680,3137,128329,88809,86382,374415
US48,"4/1/2019 4 a.m. EDT",30062,235,29097,5747,3136,130166,88180,86285,373924
US48,"4/1/2019 5 a.m. EDT",30070,246,30643,5986,3245,135167,88609,86319,381394
US48,"4/1/2019 6 a.m. EDT",30076,235,35119,6171,3555,147331,90700,86174,400429
US48,"4/1/2019 7 a.m. EDT",30683,283,40382,6249,4200,165770,95731,86019,430302
US48,"4/1/2019 8 a.m. EDT",30921,1076,45770,6347,5043,176005,98566,86001,450885
US48,"4/1/2019 9 a.m. EDT",30419,2605,45398,6286,5242,179148,101651,86000,457896
US48,"4/1/2019 10 a.m. EDT",29348,5548,45200,6299,4986,175905,102948,85984,457295
US48,"4/1/2019 11 a.m. EDT",29876,12246,42431,6280,4624,168964,102369,86006,453973
US48,"4/1/2019 12 p.m. EDT",31123,17656,38331,6500,4363,160593,101283,85938,447163
US48,"4/1/2019 1 p.m. EDT",31896,20099,35154,6506,4269,154812,97394,85916,437591
US48,"4/1/2019 2 p.m. EDT",32975,20976,31955,6646,4053,149314,94906,85943,428332
US48,"4/1/2019 3 p.m. EDT",33590,21727,30269,7103,3950,145598,92622,86000,422363
US48,"4/1/2019 4 p.m. EDT",34012,21154,30165,7373,3792,142986,90582,86198,417702
US48,"4/1/2019 5 p.m. EDT",34122,20072,30300,7498,3701,143514,89932,86215,416672
US48,"4/1/2019 6 p.m. EDT",33500,17584,30411,7409,3619,146978,92685,86267,419717
US48,"4/1/2019 7 p.m. EDT",32256,13241,35174,7208,3640,151798,94963,86260,425758
US48,"4/1/2019 8 p.m. EDT",30829,9091,41207,7232,3782,157974,99715,86318,437279
US48,"4/1/2019 9 p.m. EDT",30888,3640,44063,7253,3920,164826,103178,86426,445286
US48,"4/1/2019 10 p.m. EDT",32342,764,42218,7052,4315,163148,103466,86392,441060
US48,"4/1/2019 11 p.m. EDT",35393,528,39341,6923,4272,154458,100452,86437,429599
US48,"4/2/2019 12 a.m. EDT",36248,423,35830,6596,3423,141796,95512,86388,407968
US48,"4/2/2019 1 a.m. EDT",40517,252,33013,6536,3512,133974,89692,86565,395673
US48,"4/2/2019 2 a.m. EDT",41176,186,28952,6347,3366,126153,89845,86671,384034
US48,"4/2/2019 3 a.m. EDT",41619,174,27095,6045,3335,121700,88655,86718,376689
US48,"4/2/2019 4 a.m. EDT",41465,191,25678,6071,3544,122088,88309,86833,375506
US48,"4/2/2019 5 a.m. EDT",41212,186,25511,6277,3705,125808,90215,86976,381252
US48,"4/2/2019 6 a.m. EDT",40317,192,29507,6404,3936,134851,91227,86995,394993
US48,"4/2/2019 7 a.m. EDT",40187,220,37858,6628,4540,150417,96773,87036,424988
US48,"4/2/2019 8 a.m. EDT",40131,522,42372,7028,5342,162305,101675,87061,447752
US48,"4/2/2019 9 a.m. EDT",38637,1250,43135,7345,5403,164140,104995,86918,453034
US48,"4/2/2019 10 a.m. EDT",34969,3436,43081,7278,5104,163265,106712,86850,451719
US48,"4/2/2019 11 a.m. EDT",31952,9539,41146,7256,4521,157979,106641,86897,446935
US48,"4/2/2019 12 p.m. EDT",31862,15023,37840,7238,4217,151176,104759,86899,439936
US48,"4/2/2019 1 p.m. EDT",32183,17233,34745,7239,3862,146440,102949,86630,432162
US48,"4/2/2019 2 p.m. EDT",33185,18858,32792,7320,3602,142899,101258,86187,426908
US48,"4/2/2019 3 p.m. EDT",35692,18671,31564,7263,3312,140653,98561,86103,422403
US48,"4/2/2019 4 p.m. EDT",38258,18481,31230,7244,3173,139468,95847,86195,420594
US48,"4/2/2019 5 p.m. EDT",40517,18728,31182,7228,3104,139032,93560,86297,420305
US48,"4/2/2019 6 p.m. EDT",41344,16543,31805,7205,3130,141489,93241,86296,421726
US48,"4/2/2019 7 p.m. EDT",41759,14165,34069,7228,3118,143669,93604,86296,424522
US48,"4/2/2019 8 p.m. EDT",42188,10003,37156,7563,3309,147842,95634,86354,430529
US48,"4/2/2019 9 p.m. EDT",39153,4803,40762,7483,3776,152696,100200,86371,435847
US48,"4/2/2019 10 p.m. EDT",39145,941,39808,7376,4122,150666,103451,86357,432687
US48,"4/2/2019 11 p.m. EDT",43245,643,38557,7274,3837,139297,100139,86356,420388
US48,"4/3/2019 12 a.m. EDT",45227,376,36339,7077,3458,128922,94428,85865,403141
US48,"4/3/2019 1 a.m. EDT",44897,244,33286,7264,2894,122041,87955,86347,386304
US48,"4/3/2019 2 a.m. EDT",45413,223,29575,7034,2728,114957,84213,86376,371946
US48,"4/3/2019 3 a.m. EDT",45930,248,27083,6808,2728,112387,83787,86560,366951
US48,"4/3/2019 4 a.m. EDT",46538,252,25962,6729,2668,111507,82129,86757,363875
US48,"4/3/2019 5 a.m. EDT",45578,250,26349,6830,2844,114639,83756,86850,368464
US48,"4/3/2019 6 a.m. EDT",44782,240,31009,7160,3079,124525,87321,86901,386026
