Temperature(C),Pressure(MPa),Density(mol/l),Volume(l/mol),InternalEnergy(kJ/mol),Enthalpy(kJ/mol),Entropy(J/mol*K),Cv(J/mol*K),Cp(J/mol*K),SoundSpd.(m/s),Joule-Thomson(K/MPa),Viscosity(uPa*s),Therm.Cond.(W/m*K),Phase
25.000,3.5000,55.429,0.018041,1.8836,1.9468,6.5993,74.335,75.152,1502.4,-0.22137,889.31,0.60873,liquid
50.000,3.5000,54.926,0.018206,3.7618,3.8255,12.650,72.377,75.188,1548.7,-0.20636,547.44,0.64517,liquid
75.000,3.5000,54.196,0.018452,5.6431,5.7076,18.260,70.122,75.409,1561.7,-0.19275,378.62,0.66849,liquid
100.00,3.5000,53.285,0.018767,7.5317,7.5974,23.502,67.790,75.807,1550.4,-0.17876,282.65,0.68095,liquid
125.00,3.5000,52.216,0.019151,9.4330,9.5000,28.437,65.531,76.449,1520.2,-0.16308,222.94,0.68554,liquid
150.00,3.5000,50.997,0.019609,11.354,11.423,33.120,63.421,77.418,1474.0,-0.14443,183.23,0.68408,liquid
175.00,3.5000,49.623,0.020152,13.304,13.374,37.601,61.491,78.814,1413.5,-0.12125,155.35,0.67727,liquid
200.00,3.5000,48.078,0.020800,15.295,15.368,41.930,59.751,80.791,1339.1,-0.091270,134.80,0.66501,liquid
225.00,3.5000,46.329,0.021585,17.346,17.421,46.157,58.205,83.621,1250.5,-0.050721,118.93,0.64660,liquid
242.56,3.5000,44.947,0.022248,18.834,18.912,49.099,57.244,86.394,1178.8,-0.012365,109.61,0.62924,liquid
242.56,3.5000,0.97284,1.0279,46.893,50.490,110.33,43.256,68.747,502.95,17.063,17.218,0.049357,vapor
250.00,3.5000,0.94471,1.0585,47.272,50.977,111.27,40.179,62.582,512.04,16.337,17.581,0.049048,vapor
275.00,3.5000,0.86912,1.1506,48.373,52.400,113.93,35.572,52.805,535.90,14.083,18.769,0.049030,vapor
300.00,3.5000,0.81090,1.2332,49.340,53.657,116.17,33.446,48.136,555.44,12.208,19.926,0.049994,vapor
325.00,3.5000,0.76321,1.3103,50.237,54.823,118.16,32.237,45.392,572.71,10.660,21.062,0.051560,vapor
350.00,3.5000,0.72273,1.3836,51.092,55.935,119.98,31.533,43.674,588.44,9.3788,22.180,0.053530,vapor
375.00,3.5000,0.68756,1.4544,51.921,57.012,121.68,31.135,42.563,603.04,8.3104,23.285,0.055787,vapor
400.00,3.5000,0.65647,1.5233,52.734,58.066,123.27,30.933,41.837,616.78,7.4116,24.377,0.058256,vapor
425.00,3.5000,0.62864,1.5907,53.538,59.106,124.79,30.862,41.368,629.82,6.6485,25.457,0.060889,vapor
450.00,3.5000,0.60350,1.6570,54.336,60.136,126.24,30.883,41.076,642.29,5.9945,26.527,0.063654,vapor
475.00,3.5000,0.58059,1.7224,55.132,61.160,127.63,30.968,40.913,654.27,5.4294,27.587,0.066529,vapor
500.00,3.5000,0.55959,1.7870,55.928,62.182,128.98,31.102,40.844,665.83,4.9374,28.636,0.069497,vapor
525.00,3.5000,0.54024,1.8510,56.725,63.203,130.28,31.272,40.846,677.02,4.5061,29.677,0.072546,vapor
550.00,3.5000,0.52232,1.9145,57.524,64.225,131.54,31.470,40.905,687.89,4.1258,30.708,0.075665,vapor
575.00,3.5000,0.50566,1.9776,58.327,65.249,132.76,31.691,41.006,698.46,3.7884,31.730,0.078844,vapor
600.00,3.5000,0.49013,2.0403,59.135,66.276,133.96,31.929,41.143,708.76,3.4878,32.743,0.082074,vapor
625.00,3.5000,0.47559,2.1027,59.947,67.306,135.12,32.180,41.308,718.82,3.2187,33.746,0.085349,vapor
650.00,3.5000,0.46194,2.1648,60.765,68.341,136.26,32.443,41.495,728.65,2.9769,34.741,0.088661,vapor
675.00,3.5000,0.44911,2.2266,61.588,69.381,137.37,32.715,41.701,738.28,2.7587,35.727,0.092005,vapor
700.00,3.5000,0.43701,2.2883,62.417,70.426,138.46,32.993,41.921,747.72,2.5613,36.705,0.095377,vapor
725.00,3.5000,0.42558,2.3497,63.253,71.477,139.52,33.277,42.154,756.99,2.3819,37.673,0.098774,vapor
750.00,3.5000,0.41477,2.4110,64.096,72.534,140.57,33.564,42.396,766.09,2.2186,38.634,0.10219,vapor
775.00,3.5000,0.40451,2.4721,64.945,73.597,141.59,33.855,42.646,775.03,2.0695,39.585,0.10563,vapor
800.00,3.5000,0.39477,2.5331,65.800,74.666,142.60,34.147,42.902,783.83,1.9330,40.529,0.10909,vapor
825.00,3.5000,0.38550,2.5940,66.663,75.742,143.59,34.440,43.163,792.50,1.8078,41.464,0.11256,vapor
850.00,3.5000,0.37668,2.6548,67.533,76.825,144.57,34.733,43.427,801.04,1.6925,42.391,0.11605,vapor
875.00,3.5000,0.36826,2.7155,68.409,77.914,145.53,35.026,43.694,809.46,1.5863,43.310,0.11955,vapor
900.00,3.5000,0.36022,2.7761,69.293,79.009,146.47,35.318,43.961,817.77,1.4883,44.221,0.12307,vapor
925.00,3.5000,0.35254,2.8366,70.184,80.112,147.40,35.608,44.230,825.96,1.3975,45.124,0.12660,vapor
950.00,3.5000,0.34518,2.8970,71.081,81.221,148.32,35.896,44.498,834.06,1.3134,46.020,0.13014,vapor
975.00,3.5000,0.33813,2.9574,71.986,82.337,149.22,36.181,44.765,842.06,1.2353,46.908,0.13370,vapor
1000.0,3.5000,0.33138,3.0177,72.897,83.459,150.11,36.464,45.031,849.96,1.1627,47.788,0.13726,vapor
