I used https://www.pdf2go.com/ to convert .doc to .txt

Quantity	      Unit Cost	              Extended Cost

476.40            1.942359                $925.34
884.30            1.942372                $1,717.64
1,907.30            1.942374                $3,704.69
1,872.50            1.942393                $3,637.13
2,030.50            1.930997                $3,920.89
1,882.40            1.930992                $3,634.90
1,954.20            1.930995                $3,773.55
500.80            1.915296                   $959.18
951.30            1.915316                $1,822.04
1,765.10            1.915336                $3,380.76
1,812.80            1.964287                $3,560.86
1,812.60            1.964300                $3,560.49
1,891.40            1.964333                $3,715.34
1,807.00            1.964322                $3,549.53
506.50            1.964304                   $994.92
877.80            1.964320                $1,724.28
1,736.50            1.964296                $3,411.00
1,787.70            1.964340                $3,511.65
1,850.10            1.964315                $3,634.18
1,868.80            2.025771                $3,785.76

1,890.20            2.025749                $3,829.07
429.00            2.025758                   $869.05
916.70            2.095767                $1,921.19
1,894.20            2.095750                $3,969.77
1,926.10            2.095769                $4,036.66
1,908.10            2.095755                $3,998.91
1,987.60            2.095739                $4,165.49
1,892.10            2.095761                $3,965.39
553.40            2.145934                $1,187.56
969.60            2.145926                $2,080.69
1,956.90            2.145914                $4,199.34
2,001.10            2.145895                $4,294.15
2,006.90            2.157527                $4,329.94
2,365.20            2.157513                $5,102.95
463.00            2.157495                   $998.92
1,081.50            2.157503                $2,333.34
2,094.60            2.157529                $4,519.16
2,120.10            2.157535                $4,574.19
2,165.70            2.152482                $4,661.63
1,996.10            2.152487                $4,296.58

1,987.40            2.136978                $4,247.03
548.90            2.137001                $1,173.00
1,039.00            2.136978                $2,220.32
2,099.10            2.136963                $4,485.70
2,085.10            2.136991                $4,455.84
2,113.60            2.137003                $4,516.77
1,954.70            2.143664                $4,190.22
2,037.50            2.143681                $4,367.75
446.50            2.143695                   $957.16
904.70            2.143694                $1,939.40
2,531.30            2.143697                $5,426.34
2,584.70            2.153136                $5,565.21
2,767.10            2.153150                $5,957.98
2,550.50            2.153146                $5,491.60
2,715.80            2.153145                $5,847.51
722.30            2.153150                $1,555.22
1,170.60            2.153135                $2,520.46
2,622.60            2.153161                $5,646.88
2,563.40            2.153156                $5,519.40
2,546.50            2.152578                $5,481.54

2,638.50            2.152568                $5,679.55
2,581.60            2.147246                $5,543.33
714.30            2.145205                $1,532.32
1,211.80            2.145197                $2,599.55
2,504.80            2.145181                $5,373.25
2,604.20            2.145189                $5,586.50
2,644.90            2.145193                $5,673.82
2,509.50            2.145192                $5,383.36
2,499.00            2.127463                $5,316.53
1,151.20            2.127476                $2,449.15
2,625.00            2.127482                $5,584.64
2,628.60            2.127482                $5,592.30
2,742.00            2.131189                $5,843.72
2,565.20            2.131194                $5,466.94
14.40            2.131194                     $30.69
2,592.30            2.131196                $5,524.70
746.80            2.128709                $1,589.72
1,262.60            2.128719                $2,687.72
2,676.30            2.128719                $5,697.09
2,599.80            2.128452                $5,533.55

2,542.30            2.110266                $5,364.93
2,560.90            2.110274                $5,404.20
2,681.30            2.097691                $5,624.54
740.40            2.097690                $1,553.13
1,210.70            2.097720                $2,539.71
