month,day,day of the year,quantity,unit cost,extended cost,mass of h2
6,30,365,476.4,1.942359,925.34,538.332
6,29,364,884.3,1.942372,1717.64,999.259
6,28,363,1907.3,1.942374,3704.69,2155.249
6,27,362,1872.5,1.942393,3637.13,2115.925
6,26,361,2030.5,1.930997,3920.89,2294.465
6,25,360,1882.4,1.930992,3634.9,2127.112
6,24,359,1954.2,1.930995,3773.55,2208.246
6,23,358,500.8,1.915296,959.18,565.904
6,22,357,951.3,1.915316,1822.04,1074.969
6,21,356,1765.1,1.915336,3380.76,1994.563
6,20,355,1812.8,1.964287,3560.86,2048.464
6,19,354,1812.6,1.9643,3560.49,2048.238
6,18,353,1891.4,1.964333,3715.34,2137.282
6,17,352,1807,1.964322,3549.53,2041.91
6,16,351,506.5,1.964304,994.92,572.345
6,15,350,877.8,1.96432,1724.28,991.914
6,14,349,1736.5,1.964296,3411,1962.245
6,13,348,1787.7,1.96434,3511.65,2020.101
6,12,347,1850.1,1.964315,3634.18,2090.613
6,11,346,1868.8,2.025771,3785.76,2111.744
6,10,345,1890.2,2.025749,3829.07,2135.926
6,9,344,429,2.025758,869.05,484.77
6,8,343,916.7,2.095767,1921.19,1035.871
6,7,342,1894.2,2.09575,3969.77,2140.446
6,6,341,1926.1,2.095769,4036.66,2176.493
6,5,340,1908.1,2.095755,3998.91,2156.153
6,4,339,1987.6,2.095739,4165.49,2245.988
6,3,338,1892.1,2.095761,3965.39,2138.073
6,2,337,553.4,2.145934,1187.56,625.342
6,1,336,969.6,2.145926,2080.69,1095.648
5,31,335,1956.9,2.145914,4199.34,2211.297
5,30,334,2001.1,2.145895,4294.15,2261.243
5,29,333,2006.9,2.157527,4329.94,2267.797
5,28,332,2365.2,2.157513,5102.95,2672.676
5,27,331,0,0,0,0
5,26,330,463,2.157495,998.92,523.19
5,25,329,1081.5,2.157503,2333.34,1222.095
5,24,328,2094.6,2.157529,4519.16,2366.898
5,23,327,2120.1,2.157535,4574.19,2395.713
5,22,326,2165.7,2.152482,4661.63,2447.241
5,21,325,1996.1,2.152487,4296.58,2255.593
5,20,324,1987.4,2.136978,4247.03,2245.762
5,19,323,548.9,2.137001,1173,620.257
5,18,322,1039,2.136978,2220.32,1174.07
5,17,321,2099.1,2.136963,4485.7,2371.983
5,16,320,2085.1,2.136991,4455.84,2356.163
5,15,319,2113.6,2.137003,4516.77,2388.368
5,14,318,1954.7,2.143664,4190.22,2208.811
5,13,317,2037.5,2.143681,4367.75,2302.375
5,12,316,446.5,2.143695,957.16,504.545
5,11,315,904.7,2.143694,1939.4,1022.311
5,10,314,2531.3,2.143697,5426.34,2860.369
5,9,313,2584.7,2.153136,5565.21,2920.711
5,8,312,2767.1,2.15315,5957.98,3126.823
5,7,311,2550.5,2.153146,5491.6,2882.065
5,6,310,2715.8,2.153145,5847.51,3068.854
5,5,309,722.3,2.15315,1555.22,816.199
5,4,308,1170.6,2.153135,2520.46,1322.778
5,3,307,2622.6,2.153161,5646.88,2963.538
5,2,306,2563.4,2.153156,5519.4,2896.642
5,1,305,2546.5,2.152578,5481.54,2877.545
4,30,304,2638.5,2.152568,5679.55,2981.505
4,29,303,2581.6,2.147246,5543.33,2917.208
4,28,302,714.3,2.145205,1532.32,807.159
4,27,301,1211.8,2.145197,2599.55,1369.334
4,26,300,2504.8,2.145181,5373.25,2830.424
4,25,299,2604.2,2.145189,5586.5,2942.746
4,24,298,2644.9,2.145193,5673.82,2988.737
4,23,297,2509.5,2.145192,5383.36,2835.735
4,22,296,2499,2.127463,5316.53,2823.87
4,21,295,1151.2,2.127476,2449.15,1300.856
4,20,294,2625,2.127482,5584.64,2966.25
4,19,293,2628.6,2.127482,5592.3,2970.318
4,18,292,2742,2.131189,5843.72,3098.46
4,17,291,2565.2,2.131194,5466.94,2898.676
4,16,290,14.4,2.131194,30.69,16.272
4,15,289,2592.3,2.131196,5524.7,2929.299
4,14,288,746.8,2.128709,1589.72,843.884
4,13,287,1262.6,2.128719,2687.72,1426.738
4,12,286,2676.3,2.128719,5697.09,3024.219
4,11,285,2599.8,2.128452,5533.55,2937.774
4,10,284,2542.3,2.110266,5364.93,2872.799
4,9,283,2560.9,2.110274,5404.2,2893.817
4,8,282,2681.3,2.097691,5624.54,3029.869
4,7,281,740.4,2.09769,1553.13,836.652
4,6,280,1210.7,2.09772,2539.71,1368.091
4,5,279,2617.8,2.097689,5491.33,2958.114
4,4,278,2611.3,2.09771,5477.75,2950.769
4,3,277,2521.3,2.083806,5253.9,2849.069
4,2,276,2580.3,2.083808,5376.85,2915.739
4,1,275,2689.5,2.083822,5604.44,3039.135
3,31,274,697.3,2.079908,1450.32,787.949
3,30,273,1343.8,2.079952,2795.04,1518.494
3,29,272,2672,2.07994,5557.6,3019.36
3,28,271,2571.5,2.079969,5348.64,2905.795
3,27,270,2634.5,2.077017,5471.9,2976.985
3,26,269,2623.4,2.077034,5448.89,2964.442
3,25,268,2786,2.077024,5786.59,3148.18
3,24,267,681.8,2.083749,1420.7,770.434
3,23,266,792.1,2.083765,1650.55,895.073
3,22,265,1769.9,2.083745,3688.02,1999.987
3,21,264,1717.6,2.083774,3579.09,1940.888
3,20,263,1684,2.083753,3509.04,1902.92
3,19,262,1684.3,2.083026,3508.44,1903.259
3,18,261,1810.7,2.083023,3771.73,2046.091
3,17,260,383,2.083316,797.91,432.79
3,16,259,908.1,2.083295,1891.84,1026.153
3,15,258,2505.3,2.077747,5205.38,2830.989
3,14,257,2427.2,2.077748,5043.11,2742.736
3,13,256,2762.9,2.077748,5740.61,3122.077
3,12,255,2605.5,2.077762,5413.61,2944.215
3,11,254,2741.8,2.076351,5692.94,3098.234
3,10,253,610.2,2.076319,1266.97,689.526
3,9,252,1152.5,2.076321,2392.96,1302.325
3,8,251,2802.1,2.076346,5818.13,3166.373
3,7,250,2833.1,2.069037,5861.79,3201.403
3,6,249,2641.4,2.069043,5465.17,2984.782
3,5,248,3009,2.069046,6225.76,3400.17
3,4,247,3097.6,2.063194,6390.95,3500.288
3,3,246,814.1,2.063162,1679.62,919.933
3,2,245,1280.5,2.06321,2641.94,1446.965
3,1,244,2719.4,2.063201,5610.67,3072.922
2,28,243,2756.7,2.047278,5643.73,3115.071
2,27,242,2759.1,2.047273,5648.63,3117.783
2,26,241,2713.6,2.029463,5507.15,3066.368
2,25,240,2934.8,2.029436,5955.99,3316.324
2,24,239,715.5,2.029406,1452.04,808.515
2,23,238,1218.6,2.029427,2473.06,1377.018
2,22,237,2665,2.029433,5408.44,3011.45
2,21,236,2664.7,2.004331,5340.94,3011.111
2,20,235,2831.4,2.004341,5675.09,3199.482
2,19,234,2700,1.985356,5360.46,3051
2,18,233,2677.7,1.985346,5316.16,3025.801
2,17,232,770.9,1.948787,1502.32,871.117
2,16,231,1237,1.948755,2410.61,1397.81
2,15,230,2912.4,1.948788,5675.65,3291.012
2,14,229,2697.5,1.948793,5256.87,3048.175
2,13,228,2878.3,1.930685,5557.09,3252.479
2,12,227,2908.9,1.930658,5616.09,3287.057
2,11,226,2712.8,1.930669,5237.52,3065.464
2,10,225,759.5,1.92578,1462.63,858.235
2,9,224,1164.4,1.92579,2242.39,1315.772
2,8,223,3186.5,1.925787,6136.52,3600.745
2,7,222,2743.5,1.925777,5283.37,3100.155
2,6,221,2816.9,1.900966,5354.83,3183.097
2,5,220,2797.6,1.900954,5318.11,3161.288
2,4,219,2649.1,1.900985,5035.9,2993.483
2,3,218,683.9,1.871516,1279.93,772.807
2,2,217,1219.8,1.871438,2282.78,1378.374
2,1,216,2893.9,1.871454,5415.8,3270.107
1,31,215,3038.9,1.87147,5687.21,3433.957
1,30,214,2777.6,1.826274,5072.66,3138.688
1,29,213,3162.2,1.826301,5775.13,3573.286
1,28,212,2989.3,1.826297,5459.35,3377.909
1,27,211,770.4,1.795379,1383.16,870.552
1,26,210,1386.6,1.795392,2489.49,1566.858
1,25,209,3010.2,1.795382,5404.46,3401.526
1,24,208,2911.5,1.742394,5072.98,3289.995
1,23,207,2816.4,1.742402,4907.3,3182.532
1,22,206,2796.4,1.742397,4872.44,3159.932
1,21,205,2407.1,1.7424,4194.13,2720.023
1,20,204,806.7,1.718718,1386.49,911.571
1,19,203,1308.2,1.71869,2248.39,1478.266
1,18,202,2807,1.718693,4824.37,3171.91
1,17,201,2744.3,1.712094,4698.5,3101.059
1,16,200,2729.7,1.712111,4673.55,3084.561
1,15,199,2605.2,1.712095,4460.35,2943.876
1,14,198,2874.1,1.70945,4913.13,3247.733
1,13,197,732.9,1.709483,1252.88,828.177
1,12,196,1049.8,1.709478,1794.61,1186.274
1,11,195,2013.9,1.709479,3442.72,2275.707
1,10,194,2010.1,1.72386,3465.13,2271.413
1,9,193,2139.4,1.723871,3688.05,2417.522
1,8,192,1955.8,1.723867,3371.54,2210.054
1,7,191,1803.9,1.723871,3109.69,2038.407
1,6,190,444.4,1.773222,788.02,502.172
1,5,189,899,1.773281,1594.18,1015.87
1,4,188,1730.2,1.773257,3068.09,1955.126
1,3,187,1758.1,1.773244,3117.54,1986.653
1,2,186,1741.5,1.773253,3088.12,1967.895
1,1,185,0,0,0,0
12,31,184,1470.1,1.773213,2606.8,1661.213
12,30,183,439.2,1.773201,778.79,496.296
12,29,182,871.8,1.832702,1597.75,985.134
12,28,181,1847.5,1.832709,3385.93,2087.675
12,27,180,1732.5,1.832687,3175.13,1957.725
12,26,179,1726,1.8327,3163.24,1950.38
12,25,178,0,0,0,0
12,24,177,1442.3,1.832663,2643.25,1629.799
12,23,176,480.9,1.832647,881.32,543.417
12,22,175,877.7,1.882602,1652.36,991.801
12,21,174,2051.7,1.878871,3854.88,2318.421
12,20,173,2486.5,1.879011,4672.16,2809.745
12,19,172,2604.2,1.879015,4893.33,2942.746
12,18,171,2505.4,1.908534,4781.64,2831.102
12,17,170,2643,1.908558,5044.32,2986.59
12,16,169,702.3,1.943842,1365.16,793.599
12,15,168,1173.1,1.945435,2282.19,1325.603
12,14,167,2644,1.945477,5143.84,2987.72
12,13,166,2437.8,1.945463,4742.65,2754.714
12,12,165,2694.6,1.945446,5242.2,3044.898
12,11,164,2616.3,1.975343,5168.09,2956.419
12,10,163,2838.8,1.982803,5628.78,3207.844
12,9,162,722.9,2.00213,1447.34,816.877
12,8,161,1385.1,2.027334,2808.06,1565.163
12,7,160,2748.3,2.027337,5571.73,3105.579
12,6,159,2814.6,2.027332,5706.13,3180.498
12,5,158,2703.5,2.08779,5644.34,3054.955
12,4,157,2711.8,2.087779,5661.64,3064.334
12,3,156,2795.2,2.087768,5835.73,3158.576
12,2,155,704.7,2.162296,1523.77,796.311
12,1,154,1191.3,2.162268,2575.91,1346.169
11,30,153,2723.7,2.16229,5889.43,3077.781
11,29,152,2615.8,2.162291,5656.12,2955.854
11,28,151,2821,2.254119,6358.87,3187.73
11,27,150,2861.7,2.254387,6451.38,3233.721
11,26,149,2864.2,2.254403,6457.06,3236.546
11,25,148,676.4,2.279672,1541.97,764.332
11,24,147,931.9,2.309658,2152.37,1053.047
11,23,146,1761.8,2.309638,4069.12,1990.834
11,22,145,0,0,0,0
11,21,144,1708,2.309649,3944.88,1930.04
11,20,143,2004.2,2.309665,4629.03,2264.746
11,19,142,2002.3,2.342736,4690.86,2262.599
11,18,141,442.2,2.342696,1035.94,499.686
11,17,140,907.3,2.34272,2125.55,1025.249
11,16,139,2869.8,2.342735,6723.18,3242.874
11,15,138,2798.6,2.342739,6556.39,3162.418
11,14,137,2884.2,2.342719,6756.87,3259.146
11,13,136,2813,2.375055,6681.03,3178.69
11,12,135,2814,2.37506,6683.42,3179.82
11,11,134,614.5,2.398373,1473.8,694.385
11,10,133,36,2.254405,81.16,40.68
11,10,133,1241.7,2.398405,2978.1,1403.121
11,9,132,2849.6,2.398414,6834.52,3220.048
11,8,131,2706.6,2.416242,6539.8,3058.458
11,7,130,2801.2,2.42077,6781.06,3165.356
11,6,129,2665.2,2.420775,6451.85,3011.676
11,5,128,2714.9,2.440701,6626.26,3067.837
11,4,127,745.3,2.440668,1819.03,842.189
11,3,126,1325.3,2.440708,3234.67,1497.589
11,2,125,2669.2,2.440694,6514.7,3016.196
11,1,124,2791.4,2.444336,6823.12,3154.282
10,31,123,2616.5,2.444319,6395.56,2956.645
10,30,122,2626.6,2.444308,6420.22,2968.058
10,29,121,2533,2.444327,6191.48,2862.29
10,28,120,744.3,2.44951,1823.17,841.059
10,27,119,1262.9,2.449497,3093.47,1427.077
10,26,118,2487.7,2.449487,6093.59,2811.101
10,25,117,2333.1,2.463371,5747.29,2636.403
10,24,116,2634.8,2.46339,6490.54,2977.324
10,23,115,2643.9,2.463399,6512.98,2987.607
10,22,114,2600.4,2.464532,6408.77,2938.452
10,21,113,663.3,2.464541,1634.73,749.529
10,20,112,1132.1,2.4645,2790.06,1279.273
10,19,111,2730,2.464516,6728.13,3084.9
10,18,110,2704.5,2.471533,6684.26,3056.085
10,17,109,2822.9,2.47154,6976.91,3189.877
10,16,108,2523.6,2.471588,6237.3,2851.668
10,15,107,2763.3,2.474132,6836.77,3122.529
10,14,106,684,2.474094,1692.28,772.92
10,13,105,1276.4,2.474154,3158.01,1442.332
10,12,104,2742.6,2.474123,6785.53,3099.138
10,11,103,2720.2,2.470594,6720.51,3073.826
10,10,102,2861.6,2.443245,6991.59,3233.608
10,9,101,3018.4,2.443301,7374.86,3410.792
10,8,100,2656.3,2.443293,6490.12,3001.619
10,7,99,789.2,2.44331,1928.26,891.796
10,6,98,1388,2.443307,3391.31,1568.44
10,5,97,2951.6,2.417736,7136.19,3335.308
10,4,96,2838.1,2.417734,6861.77,3207.053
10,3,95,3176.3,2.367352,7519.42,3589.219
10,2,94,2973,2.367349,7038.13,3359.49
10,1,93,2994.2,2.367267,7088.07,3383.446
10,1,93,40.4,2.474118,99.95,45.652
9,30,92,861.7,2.336103,2013.02,973.721
9,29,91,1219.5,2.336121,2848.9,1378.035
9,28,90,2882.6,2.336096,6734.03,3257.338
9,27,89,2791.3,2.336109,6520.78,3154.169
9,26,88,2694.8,2.313589,6234.66,3045.124
9,25,87,3053.9,2.313579,7065.44,3450.907
9,24,86,2791.8,2.313586,6459.07,3154.734
9,23,85,708.1,2.313402,1638.12,800.153
9,22,84,1278.6,2.313476,2958.01,1444.818
9,21,83,3050,2.313439,7055.99,3446.5
9,20,82,3258.8,2.313434,7539.02,3682.444
9,19,81,2953.1,2.307504,6814.29,3337.003
9,18,80,3098.6,2.307516,7150.07,3501.418
9,17,79,3121.9,2.307492,7203.76,3527.747
9,16,78,805.3,2.315274,1864.49,909.989
9,15,77,1397.9,2.315244,3236.48,1579.627
9,14,76,3021.4,2.315248,6995.29,3414.182
9,13,75,2954,2.316676,6843.46,3338.02
9,12,74,3020.1,2.316682,6996.61,3412.713
9,11,73,2978.6,2.306412,6869.88,3365.818
9,10,72,2867.9,2.306433,6614.62,3240.727
9,9,71,856.4,2.306189,1975.02,967.732
9,8,70,1340.5,2.306229,3091.5,1514.765
9,7,69,3015.6,2.306194,6954.56,3407.628
9,6,68,3191.9,2.3062,7361.16,3606.847
9,5,67,3302.7,2.295852,7582.51,3732.051
9,4,66,3206.9,2.291618,7348.99,3623.797
9,3,65,0,0,0,0
9,2,64,986.7,2.291608,2261.13,1114.971
9,1,63,1367.3,2.291626,3133.34,1545.049
8,31,62,3066.6,2.291636,7027.53,3465.258
8,30,61,2987.1,2.268153,6775.2,3375.423
8,29,60,3143.9,2.238557,7037.8,3552.607
8,28,59,3282.6,2.238552,7348.27,3709.338
8,27,58,3266.6,2.238554,7312.46,3691.258
8,26,57,902.2,2.224396,2006.85,1019.486
8,25,56,1279.7,2.224389,2846.55,1446.061
8,24,55,2772.2,2.224374,6166.41,3132.586
8,23,54,2384.7,2.224364,5304.44,2694.711
8,22,53,2448.1,2.224399,5445.55,2766.353
8,21,52,2215.3,2.226123,4931.53,2503.289
8,20,51,2407.6,2.226134,5359.64,2720.588
8,19,50,505.9,2.226112,1126.19,571.667
8,18,49,1105.1,2.226124,2460.09,1248.763
8,17,48,2262,2.226123,5035.49,2556.06
8,16,47,2286.1,2.233323,5105.6,2583.293
8,15,46,2056.6,2.233327,4593.06,2323.958
8,14,45,2166,2.233315,4837.36,2447.58
8,13,44,2100.7,2.231432,4687.57,2373.791
8,12,43,527.1,2.231455,1176.2,595.623
8,11,42,1018.7,2.231462,2273.19,1151.131
8,10,41,2125.3,2.231417,4742.43,2401.589
8,9,40,2472,2.231432,5516.1,2793.36
8,8,39,2023.2,2.231445,4514.66,2286.216
8,7,38,1957.1,2.233964,4372.09,2211.523
8,6,37,2238.1,2.233931,4999.76,2529.053
8,5,36,517.7,2.231254,1155.12,585.001
8,4,35,1036.1,2.231213,2311.76,1170.793
8,3,34,2025.7,2.231204,4519.75,2289.041
8,2,33,2120.7,2.231193,4731.69,2396.391
8,1,32,1883.6,2.231212,4202.71,2128.468
7,31,31,1856.6,2.23117,4142.39,2097.958
7,30,30,2010.3,2.231174,4485.33,2271.639
7,29,29,546,2.220403,1212.34,616.98
7,28,28,936,2.220363,2078.26,1057.68
7,27,27,1906.1,2.220408,4232.32,2153.893
7,26,26,2043.9,2.220397,4538.27,2309.607
7,25,25,2052.1,2.213079,4541.46,2318.873
7,24,24,1914.9,2.213113,4237.89,2163.837
7,23,23,2016.4,2.213073,4462.44,2278.532
7,22,22,478.2,2.21813,1060.71,540.366
7,21,21,909.8,2.218136,2018.06,1028.074
7,20,20,2023.9,2.218148,4489.31,2287.007
7,19,19,2096.1,2.218138,4649.44,2368.593
7,18,18,1954.2,2.218125,4334.66,2208.246
7,17,17,1843.4,2.218135,4088.91,2083.042
7,16,16,2034.8,2.237743,4553.36,2299.324
7,15,15,471.2,2.237755,1054.43,532.456
7,14,14,996.4,2.237766,2229.71,1125.932
7,13,13,2106.6,2.237743,4714.03,2380.458
7,12,12,2064.5,2.237757,4619.85,2332.885
7,11,11,2091.3,2.246569,4698.25,2363.169
7,10,10,2016.5,2.246546,4530.16,2278.645
7,9,9,2201,2.246025,4943.5,2487.13
7,8,8,502.9,2.246033,1129.53,568.277
7,7,7,911.5,2.246023,2047.25,1029.995
7,6,6,1971.2,2.246038,4427.39,2227.456
7,5,5,2015.3,2.246048,4526.46,2277.289
7,4,4,0,0,0,0
7,3,3,2079.1,2.246044,4669.75,2349.383
7,2,2,2157.2,2.241443,4835.24,2437.636
7,1,1,483.3,2.241527,1083.33,546.129
